reconstructed,isv_id,isv_form,match_score,N,is_best,etm_info,cognates
uměti,15720,uměti,100.0,4,True,"From *umъ +‎ *-ěti.

","{'Old East Slavic': ['оумѣти'], 'Belarusian': ['умець/ ўмець'], 'Russian': ['уметь'], 'Ukrainian': ['вміти/ уміти'], 'Old Cyrillic': ['оумѣти'], 'Glagolitic': ['ⱆⰿⱑⱅⰹ'], 'Bulgarian': ['умея'], 'Macedonian': ['умее'], 'Cyrillic': ['умети', 'умјети'], 'Latin': ['ùmeti', 'ùmjeti'], 'Slovene': ['uméti'], 'Old Czech': ['uměti'], 'Czech': ['umět'], 'Old Polish': ['umieć'], 'Polish': ['umieć'], 'Slovak': ['umieť'], 'Lower Sorbian': ['huměś'], 'Upper Sorbian': ['wuměć']}"
xodъ,3465,hod,100.0,4,True,"From Proto-Indo-European *sodós, from Proto-Indo-European *sed- (“to sit”). The form has initial *x by analogy with derived words beginning with the prefixes *per-, *pri-, *u-, in which *s shifted to *x by the ruki sound law. Cognate with Ancient Greek ὁδός (hodós, “way”).
Some dialect groups make it possible to reconstruct the semantic-accentuation pair: *xȍdъ, gen. *xȍda and *xòdъ, gen. *xodà. For example, this semantic-accentuation pair is represented in the Posozhko-Pripyat dialect: xod, gen. xódu, instr. xódom ~ xod, gen. xodá, instr. xodóm. Most other dialects usually retain one variant of the semantic-accentuation pair.

","{'Old East Slavic': ['ходъ', 'хода'], 'Belarusian': ['ход'], 'Russian': ['ход', 'хода'], 'Ukrainian': ['хід', 'хода'], 'Old Church Slavonic': ['ходъ'], 'Bulgarian': ['ход'], 'Macedonian': ['од'], 'Cyrillic': ['ход'], 'Latin': ['hȏd'], '(Sali)': ['xọd'], '(Susak)': ['xuȏt'], 'Old Slovene': ['hod'], 'Slovene': ['hȍd (tonal orthography)'], '(Črni Vrh village)': ['xȗət'], 'Old Czech': ['chod', 'chodové'], 'Czech': ['chod', 'chůda'], 'Old Polish': ['chód'], 'Polish': ['chód'], 'Slovak': ['chod'], 'Upper Sorbian': ['chód', 'choda'], 'Lower Sorbian': ['chód']}"
nadъ,7090,nad,100.0,4,True,"From Proto-Balto-Slavic *nōda, from Proto-Indo-European *h₂nō-dʰh₁-o-m. The first part of the compound is directly reflected in *na (“on”), and for the second part compare a similarly constructed preposition *podъ. *dʰh₁o- represents a root noun of the verb *dʰeh₁- (“to do, put, place”), whence also *děti.

","{'Belarusian': ['над'], 'Russian': ['над'], 'Ukrainian': ['над'], 'Old Church Slavonic': ['надъ'], 'Bulgarian': ['над'], 'Macedonian': ['над'], 'Cyrillic': ['над'], 'Latin': ['nȁd'], 'Slovene': ['nad (tonal orthography)'], 'Czech': ['nad'], 'Kashubian': ['nad', 'nód'], 'Polish': ['nad'], 'Slovak': ['nad'], 'Lower Sorbian': ['nad'], 'Upper Sorbian': ['nad']}"
čarodějь,1383,čaroděj,100.0,4,True,"From *čarъ +‎ *-dějь, the second element being derived from *dějati (“to do”).

","{'Old East Slavic': ['чародѣи'], 'Belarusian': ['чарадзей'], 'Russian': ['чародей'], 'Ukrainian': ['чародій'], 'Old Cyrillic': ['чародѣи'], 'Bulgarian': ['чародей'], 'Slovene': ['čarodèj (tonal orthography)'], 'Czech': ['čaroděj'], 'Polish': ['czarodziej'], 'Slovak': ['čarodej']}"
nožь,8227,nož,100.0,4,True,"From *noziti +‎ *-jь, from Proto-Indo-European *h₁noǵʰyo-.
Indo-European cognates include Ancient Greek νύσσω (nússō), Attic Ancient Greek νύττω (núttō), Ancient Greek ἔγχος (énkhos, “spear”), Old Irish ness (*nekso-).

Vasmer: unreliable comparison with Avestan 𐬥𐬀𐬉𐬰𐬀‎ (naēza). Unacceptably pulling together with Latin nectō (“I bind, tie”), Sanskrit नह्यति (nahyati, “to bind, tie”).
ЭССЯ: cognation *nožь with Lithuanian knẽžas (“knife”) (with additional k-) is unlikely.
","{'East Slavic': ['ножь'], 'Belarusian': ['нож'], 'Russian': ['нож'], 'Ukrainian': ['ніж'], 'Cyrillic': ['нож'], 'Glagolitic': ['ⱀⱁⰶⱐ'], 'Bulgarian': ['нож'], 'Macedonian': ['нож'], 'Latin': ['nȏž'], 'Slovene': ['nȍž (tonal orthography)'], 'Old Czech': ['nóž'], 'Czech': ['nůž'], 'Bohemian (Chod dialect)': ['nůž'], 'Kashubian': ['nóż'], 'Polabian': ['nüz'], 'Polish': ['nóż'], 'Slovak': ['nôž'], 'Slovincian': ['nòž', 'noža'], 'Upper Sorbian': ['nož'], 'Lower Sorbian': ['nož'], '→ Latvian': ['nazis']}"
lyko,6213,lyko,100.0,4,True,"From Proto-Balto-Slavic *lúnˀka (“bast”).

","{'Belarusian': ['лыка'], 'Russian': ['лыко'], 'Ukrainian': ['лико'], 'Cyrillic': ['лико'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['лико'], 'Macedonian': ['лико'], 'Latin': ['liko'], 'Slovene': ['líkọ (tonal orthography)'], 'Old Czech': ['lýko'], 'Czech': ['lýko'], 'Moravian (Mistřice)': ['uiko'], 'Polish': ['łyko'], 'Slovak': ['lyko'], 'Upper Sorbian': ['łyko'], 'Lower Sorbian': ['łyko']}"
vina,16392,vina,100.0,4,True,"Fossilized verbal noun of otherwise obsolete Proto-Balto-Slavic *wīˀtei (“to persecute”) + *-na, ultimately from Proto-Indo-European *weyh₁- (“to hunt, to chase”). Akin to Latvian vaĩna (“guilt”), Lithuanian vainà (“guilt”) (with o-grade ablaut).

","{'Old East Slavic': ['вина'], 'Old Ruthenian': ['вина'], 'Belarusian': ['віна'], 'Ukrainian': ['вина'], 'Russian': ['вина'], 'Old Church Slavonic': ['вина'], 'Bulgarian': ['вина'], 'Macedonian': ['вина'], 'Old Czech': ['vina'], 'Czech': ['vina'], 'Old Polish': ['wina'], 'Polish': ['wina'], 'Slovak': ['vina'], 'Lower Sorbian': ['wina'], 'Upper Sorbian': ['wina']}"
sila,13630,sila,100.0,4,True,"From Proto-Balto-Slavic *séiˀlāˀ.

","{'Old East Slavic': ['сила'], 'Belarusian': ['сіла'], 'Russian': ['сила'], 'Ukrainian': ['сила'], 'Old Cyrillic': ['сила'], 'Glagolitic': ['ⱄⰻⰾⰰ'], 'Bulgarian': ['сила'], 'Macedonian': ['сила'], 'Cyrillic': ['сила'], 'Latin': ['sila'], 'Chakavian (Vrgada)': ['sila'], 'Chakavian (Orbanići)': ['sila'], 'Kajkavian (Bednja)': ['silo'], 'Slovene': ['síla (tonal orthography)'], 'Old Czech': ['síla'], 'Czech': ['síla'], 'Bohemian (Chod dialect)': ['síla'], 'Moravian (Mistřice)': ['siua'], 'Kashubian': ['sëła'], 'Old Polish': ['siła'], 'Polish': ['siła'], 'Slovak': ['sila'], 'Upper Sorbian': ['syła'], 'Lower Sorbian': ['syła']}"
pra-,11148,pra-,100.0,4,True,"Related to *pro.

","{'Old East Slavic': ['пра-'], 'Old Ruthenian': ['пра-'], 'Belarusian': ['пра-'], 'Ukrainian': ['пра-'], 'Russian': ['пра-'], 'Old Cyrillic': ['пра-'], 'Bulgarian': ['пра-'], 'Macedonian': ['пра-'], 'Cyrillic': ['пра-'], 'Latin': ['pra-'], 'Slovene': ['prȃ- (tonal orthography)'], 'Czech': ['pra-'], 'Polish': ['pra-'], 'Slovak': ['pra-'], 'Upper Sorbian': ['pra-']}"
rǫkavica,13264,rųkavica,100.0,4,True,"From *rǫkavъ +‎ *-ica.

","{'Belarusian': ['рукавіца'], 'Russian': ['рукавица'], 'Ukrainian': ['рукавиця'], 'Bulgarian': ['ръкавица'], 'Macedonian': ['ракавица'], 'Cyrillic': ['рукавица'], 'Latin': ['rukàvica'], 'Slovene': ['rokavíca (tonal orthography)'], 'Czech': ['rukavice'], 'Polish': ['rękawica'], 'Slovak': ['rukavica'], 'Lower Sorbian': ['rukajca'], 'Upper Sorbian': ['rukajca']}"
směxъ,13939,směh,100.0,4,True,"From *smьjati +‎ *-xъ.

","{'Old East Slavic': ['смѣхъ'], 'Belarusian': ['смех'], 'Russian': ['смех'], 'Ukrainian': ['сміх'], 'Old Cyrillic': ['смѣхъ'], 'Glagolitic': ['ⱄⰿⱑⱈⱏ'], 'Bulgarian': ['смях'], 'Cyrillic': ['смех'], 'Latin': ['smȇh'], 'Slovene': ['smeh'], 'Old Czech': ['smiech'], 'Czech': ['smích'], 'Old Polish': ['śmiech'], 'Polish': ['śmiech'], 'Silesian': ['śmiych'], 'Slovak': ['smiech'], 'Lower Sorbian': ['směch'], 'Upper Sorbian': ['směch']}"
měsęcь,6513,měsęc,100.0,4,True,"From earlier *mēs-en-ko, from Proto-Indo-European *meh₁ns-(e)n-ko-.

","{'Old East Slavic': ['мѣсѧць'], 'Belarusian': ['месяц'], 'Russian': ['месяц'], 'Rusyn': ['місяць'], 'Ukrainian': ['місяць'], 'Cyrillic': ['месец', 'мјесец'], 'Glagolitic': ['ⰿⱑⱄⱔⱌⱐ'], 'Bulgarian': ['месец', 'месинц (dialectal)'], 'Macedonian': ['месец'], 'Roman': ['mȅsēc', 'mjȅsēc'], 'Slovene': ['mẹsəc (tonal orthography)'], 'Old Czech': ['měsiec'], 'Czech': ['měsíc'], 'Kashubian': ['miesidz', 'miesąc', 'miesądz'], 'Polish': ['miesiąc'], 'Silesian': ['mjeśůnc'], 'Slovak': ['mesiac'], 'Lower Sorbian': ['mjasec'], 'Upper Sorbian': ['měsac']}"
kryti,5621,kryti,100.0,4,True,"From Proto-Balto-Slavic *krū́ˀtei, from Proto-Indo-European *krewH- (possibly *(s)krewH-). Likely akin to Proto-Balto-Slavic *kráuˀtei, whence Lithuanian kráuti (“to store”), Latvian kraũt (“to pile, to stack”). Probably further related to Ancient Greek κρύπτω (krúptō, “I hide, cover, conceal, obscure”), Proto-Germanic *hreudaną (“to cover, to adorn”), possibly Proto-Germanic *hraukaz (“pile, heap”), Old Irish crúach. Compare also Proto-Germanic *skrūdą (“shroud, cover”).

","{'Old East Slavic': ['крꙑти', 'крити'], 'Belarusian': ['крыць'], 'Russian': ['крыть'], 'Rusyn': ['крыти'], 'Ukrainian': ['крити'], 'Old Cyrillic': ['крꙑти'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['крия'], 'Macedonian': ['крие'], 'Cyrillic': ['крити'], 'Latin': ['kriti'], 'Slovene': ['kríti (tonal orthography)'], 'Old Czech': ['krýti'], 'Czech': ['krýt'], 'Bohemian (Chod dialect)': ['kryjt'], 'Polabian': ['kråjĕ'], 'Polish': ['kryć'], 'Slovak': ['kryť'], 'Slovincian': ['krȧc', 'krȧją', 'krëc', 'krəc'], 'Upper Sorbian': ['kryć'], 'Lower Sorbian': ['kšyś']}"
vьrba,16838,vŕba,100.0,4,True,"From Proto-Balto-Slavic *virb-. Cognate with Lithuanian vir̃bas, Latvian vir̂bs, virba, Ancient Greek ῥᾰ́βδος (rhábdos), Latin verbēna, verber, Proto-Germanic *warpą.

","{'Old East Slavic': ['вьрба'], 'Belarusian': ['вярба', 'вэрба (dialectal)'], 'Russian': ['верба'], 'Ukrainian': ['верба'], 'Old Church Slavonic': ['вьрба'], 'Bulgarian': ['върба'], 'Macedonian': ['врба'], 'Cyrillic': ['врба'], 'Latin': ['vŕba'], 'Slovene': ['vŕba'], 'Old Czech': ['vrba'], 'Czech': ['vrba'], 'Moravian (Mistřice)': ['vŕba'], 'Polabian': ['varbă'], 'Old Polish': ['wierzba'], 'Polish': ['wierzba'], 'Silesian': ['wiyrba'], 'Slovak': ['vŕba'], 'Upper Sorbian': ['wjerba'], 'Lower Sorbian': ['wjerba']}"
dǫbъ,2392,dųb,100.0,4,True,"Based on comparison between the adjective form *dǫbrъ and Proto-Germanic *timrą (“timber”), Lithuanian dum̃blas (“swamp”), it appears that the etymon descends from a Caland's root (probably Proto-Indo-European *dem- (“to build”)). The exact etymology, however, is uncertain.
The etymon is attested both as an o-stem and as a u-stem, but per Vasmer, the original more likely was u-stem.

","{'Belarusian': ['дуб'], 'Russian': ['дуб'], 'Ukrainian': ['дуб'], 'Old Church Slavonic': ['дѫбъ'], 'Bulgarian': ['дъб', 'дъмп (dialectal)'], 'Macedonian': ['даб'], 'Serbo-Croatian': ['(archaic)'], 'Cyrillic': ['дуб'], 'Latin': ['dub'], 'Slovene': ['dọb (tonal orthography)'], 'Old Czech': ['dub'], 'Czech': ['dub'], 'Kashubian': ['dąb'], 'Polish': ['dąb'], 'Polabian': ['dǫb'], 'Slovak': ['dub'], 'Lower Sorbian': ['dub'], 'Upper Sorbian': ['dub']}"
navykъ,7587,navyk,100.0,4,True,"From *na +‎ *vyknǫti.

","{'Russian': ['навык'], 'Bulgarian': ['навик'], 'Macedonian': ['навика f'], 'Cyrillic': ['навика f'], 'Latin': ['navika f'], 'Czech': ['návyk'], 'Polish': ['nawyk'], 'Slovak': ['návyk']}"
volčiti,16477,vlåčiti,100.0,4,True,"Derived from *velťi.

","{'Old Ruthenian': ['волочити'], 'Belarusian': ['валачыць'], 'Ukrainian': ['волочити'], 'Russian': ['волочить'], 'Old Cyrillic': ['влачити'], '→ Russian': ['влачить (poetic)'], 'Bulgarian': ['влача'], 'Cyrillic': ['влачити'], 'Latin': ['vláčiti'], 'Slovene': ['vláčiti (tonal orthography)'], 'Czech': ['vláčet'], 'Polabian': ['vlåcĕt'], 'Polish': ['włóczyć'], 'Slovak': ['vláčiť']}"
gъnati,3057,gnati,100.0,4,True,"From Proto-Balto-Slavic *gúntei, from Proto-Indo-European *gʷʰénti.

","{'Old East Slavic': ['гънати'], 'Belarusian': ['гнаць', '1sg. pres. ганю'], 'Russian': ['гнать', '1sg. pres. гоню'], 'Ukrainian': ['гнати', '1sg. pres. жену'], 'Church Slavonic': ['гънати (Russian)'], 'Old Cyrillic': ['гънати'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['гоня'], 'Cyrillic': ['гнати'], 'Latin': ['gnȁti'], 'Slovene': ['gnáti (tonal orthography)', '1sg. pres. žénem'], 'Old Czech': ['hnáti'], 'Czech': ['hnát', '1sg. pres. ženu'], 'Bohemian (Chod dialect)': ['hnát'], 'Polabian': ['zinĕ'], 'Old Polish': ['gnać'], 'Polish': ['gnać', '1sg. pres. gnam'], 'Slovak': ['hnať'], 'Slovincian': ['gnȧć'], 'Upper Sorbian': ['hnać'], 'Lower Sorbian': ['gnaś']}"
děliti,1781,děliti,100.0,4,True,"From *dělъ +‎ *-iti, from Proto-Balto-Slavic *dail-. Cognate with Lithuanian dailýti, 3sg. daĩlo, Proto-Germanic *dailijaną.

","{'Old East Slavic': ['дѣлити'], 'Old Belarusian': ['дѣлити', 'делити[3]'], 'Belarusian': ['дзяліць'], 'Russian': ['делить'], 'Ukrainian': ['ділити'], 'Cyrillic': ['делити', 'дијѐлити'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['деля'], 'Macedonian': ['дели'], 'Latin': ['déliti', 'dijèliti'], 'Chakavian (Vrgada)': ['dīliti'], 'Chakavian (Orbanići)': ['dielit'], 'Slovene': ['delīti (tonal orthography)'], 'Old Czech': ['děliti'], 'Czech': ['dělit'], 'Polabian': ['delĕ'], 'Polish': ['dzielić'], 'Slovak': ['deliť'], 'Slovincian': ['ʒìelĕc'], 'Upper Sorbian': ['dźělić'], 'Lower Sorbian': ['źěliś']}"
obrędъ,8534,obręd,100.0,4,True,"Deverbal of *obręditi, ultimately from *rędъ (“order”).

","{'Belarusian': ['абрад'], 'Russian': ['обряд'], 'Ukrainian': ['обряд'], 'Bulgarian': ['обряд', 'обред'], 'Macedonian': ['обред'], 'Cyrillic': ['обред'], 'Latin': ['òbred'], 'Slovene': ['obrèd (tonal orthography)'], 'Czech': ['obřad'], 'Kashubian': ['òbrzãd'], 'Polish': ['obrzęd'], 'Silesian': ['ôbrzynd'], 'Slovak': ['obrad']}"
drěmati,2327,drěmati,100.0,4,True,"From Proto-Indo-European *drē- (“to sleep”)[1] or Proto-Indo-European *drem-.[2]

","{'Belarusian': ['драмаць'], 'Russian': ['дремать'], 'Ukrainian': ['дрімати'], 'Old Cyrillic': ['дрѣмати'], 'Glagolitic': ['ⰴⱃⱑⰿⰰⱅⰻ'], 'Bulgarian': ['дремя'], 'Macedonian': ['дреме'], 'Cyrillic': ['дремати', 'дријемати'], 'Latin': ['drémati', 'drijémati'], '→ Albanian': ['dremit'], 'Slovene': ['drẹmati'], 'Old Czech': ['dřiemati'], 'Czech': ['dřímat'], 'Polish': ['drzemać'], 'Slovak': ['driemať'], 'Slovincian': ['dřìemăc'], 'Lower Sorbian': ['drěmaś'], 'Upper Sorbian': ['drěmać']}"
čьrpati,1567,črpati,100.0,4,True,"From Proto-Balto-Slavic *kirp-, from Proto-Indo-European *(s)kerp-. Cognate with Lithuanian kir̃pti.

","{'Old East Slavic': ['чьрпати'], 'Old Ruthenian': ['черпати', 'черпать'], 'Belarusian': ['чэрпаць'], 'Ukrainian': ['черпати'], 'Russian': ['черпать'], 'Old Cyrillic': ['чрѣти'], 'Glagolitic': ['ⱍⱃⱑⱂⱙⱎⱅⰵ'], 'Bulgarian': ['черпя'], 'Macedonian': ['црпи'], 'Cyrillic': ['црпсти'], 'Latin': ['crpsti'], 'Slovene': ['črpáti'], 'Czech': ['čerpat'], 'Old Polish': ['czyrpać', 'czyrzpać'], 'Polish': ['czerpać'], 'Slovak': ['čеrраti'], 'Upper Sorbian': ['čеŕрас']}"
nizina,8133,nizina,100.0,4,True,"From *nizъ +‎ *-ina.

","{'Old East Slavic': ['низина'], 'Belarusian': ['нізіна'], 'Russian': ['низина'], 'Ukrainian': ['низина'], 'Bulgarian': ['низина'], 'Macedonian': ['низина'], 'Cyrillic': ['низѝна'], 'Latin': ['nizìna'], 'Slovene': ['nizína (tonal orthography)'], 'Czech': ['nížina'], 'Polish': ['nizina'], 'Slovak': ['nížina'], 'Upper Sorbian': ['nížina'], 'Lower Sorbian': ['nížyna']}"
zadъ,17119,zad,100.0,4,True,"Possibly from Proto-Indo-European *ǵʰed-. Akin to Albanian dhjes (“to mess up”), Ancient Greek χέζω (khézō, “I defecate”), χόδᾰνος (khódanos, “buttocks”), Avestan 𐬵𐬀𐬜𐬀𐬲‎ (haδaž, “anus”), 𐬰𐬀𐬛𐬀𐬵‎ (zadah, “rump”), Old Armenian ձետ (jet, “tail, penis”), Sanskrit हदति (hadati, “to evacuate, discharge excrement”). Also analyzable as *za +‎ *-dъ.

","{'Old East Slavic': ['задъ'], 'Old Ruthenian': ['задъ'], 'Belarusian': ['зад'], 'Ukrainian': ['зад'], 'Russian': ['зад'], 'Old Cyrillic': ['зади'], 'Bulgarian': ['зад'], 'Macedonian': ['зад'], 'Cyrillic': ['задак'], 'Latin': ['zȁdak'], 'Czech': ['záda'], 'Old Polish': ['zad'], 'Polish': ['zad'], 'Slovak': ['zad'], 'Upper Sorbian': ['zad']}"
